% Насионал Мадейра - Витория Гимараеш 02.01.19 Pt1
5.0 6.0 15.0 2.0 2.0 2.0 2.0 2.0 2.0 3.0 0.0 3.0     8.0 9.0 9.0 1.0 3.0 2.0 2.0 2.0 2.0     2

% Sporting CP - FC Porto, 2019-01-12, Primeira Liga, 372163
11.0 1.0 4.0 4.0 0.0 2.0 4.0 1.0 1.0 2.0 1.0 3.0     14.0 0.0 2.0 6.0 0.0 0.0 4.0 1.0 1.0     X

% Leganes - SD Huesca, 2019-01-12, Liga BBVA, 378438
4.0 7.0 7.0 1.0 3.0 2.0 2.0 3.0 1.0 2.0 2.0 2.0     2.0 5.0 11.0 1.0 2.0 3.0 1.0 1.0 4.0     1

% Gillingham - Walsall, 2019-01-19, League 1, 373173
9.0 4.0 14.0 2.0 1.0 3.0 2.0 2.0 2.0 2.0 2.0 2.0     8.0 8.0 11.0 0.0 2.0 4.0 1.0 2.0 3.0     2

% Rochdale - Fleetwood Town, 2019-01-19, League 1, 373177
8.0 6.0 14.0 2.0 0.0 4.0 2.0 1.0 3.0 2.0 3.0 1.0     9.0 8.0 10.0 2.0 2.0 2.0 1.0 2.0 3.0     X

% Nimes - Toulouse, 2019-01-19, Ligue 1, 373338
6.0 5.0 7.0 4.0 0.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0     5.0 6.0 8.0 4.0 0.0 2.0 3.0 1.0 2.0     2

% Reims - Nice, 2019-01-19, Ligue 1, 373341
6.0 9.0 5.0 2.0 2.0 2.0 3.0 2.0 1.0 2.0 2.0 2.0     8.0 5.0 6.0 3.0 2.0 1.0 2.0 2.0 2.0     X

% Schalke 04 - Wolfsburg, 2019-01-20, Bundesliga, 373396
5.0 3.0 9.0 2.0 2.0 2.0 2.0 1.0 3.0 4.0 1.0 1.0     8.0 4.0 5.0 3.0 1.0 2.0 3.0 1.0 2.0     1
