%% T1_W T1_D T1_L T1_WLast6 T1_DLast6 T1_LLast6 T1_WHomeLast6 T1_DHomeLast6 T1_LHomeLast6 T1_W1v1_last6 T1_D1v1_last6 T1_L1v1_last6
%% T2_W T2_D T2_L T2_WLast6 T2_DLast6 T2_LLast6 T2_WAwayLast6 T2_DAwayLast6 T2_LAwayLast6
%% Label (1 == Home, X == Draw, 2 == Away)

% Насионал Мадейра - Витория Гимараеш 02.01.19 Pt1
% Гранада - Албасете  04.01.19 Es2
11.0 5.0 3.0 3.0 2.0 1.0 4.0 1.0 1.0 2.33 1.33 2.33     10.0 7.0 2.0 5.0 1.0 0.0 3.0 1.0 2.0     X

% Тенерифе - Елче 04.01.19 Es2
3.0 10.0 6.0 1.0 3.0 2.0 2.0 4.0 0.0 2.0 2.0 2.0     4.0 9.0 6.0 1.0 3.0 2.0 1.0 2.0 3.0     1

% Академика Коимбра - Кова Де Пиедаде 04.01.19 Pt2
5.0 3.0 6.0 4.0 0.0 2.0 2.0 1.0 3.0 0.66 1.66 3.66     4.0 5.0 5.0 2.0 2.0 2.0 1.0 3.0 2.0     1

% Кембридж Юн - Стивънидж Боро 05.01.19 L2
6.0 5.0 15.0 1.0 1.0 4.0 3.0 2.0 1.0 4.0 1.0 1.0     11.0 5.0 10.0 2.0 1.0 3.0 1.0 1.0 4.0     1

% Карлайл Юн. - Мансфийлд Таун 05.01.19 L2
13.0 3.0 10.0 5.0 0.0 1.0 4.0 0.0 2.0 1.0 1.0 4.0    11.0 12.0 1.0 4.0 2.0 0.0 3.0 2.0 1.0     1

% Колчестър Юн. - Нотс Каунти 05.01.19 L2
12.0 6.0 8.0 2.0 1.0 3.0 3.0 2.0 1.0 1.0 1.0 4.0     4.0 8.0 14.0 1.0 1.0 4.0 0.0 2.0 4.0     X

% Кроули Таун - Челтнъм 05.01.19 L2
9.0 3.0 13.0 1.0 1.0 4.0 2.0 1.0 3.0 1.0 1.0 4.0     7.0 8.0 10.0 3.0 3.0 0.0 2.0 2.0 2.0     1

% Макълсфийлд Таун - Суиндън Таун 05.01.19 L2
5.0 6.0 15.0 2.0 2.0 2.0 2.0 2.0 2.0 3.0 0.0 3.0     8.0 9.0 9.0 1.0 3.0 2.0 2.0 2.0 2.0     2

% Benfica - Rio Ave, 2019-01-06, Primeira Liga, 369926
10.0 2.0 3.0 4.33 0.33 1.33 3.33 1.33 1.33 5.0 1.0 0.0      5.0 4.0 6.0 0.0 2.0 4.0 1.33 1.33 3.33     1

% Feirense - Santa Clara, 2019-01-06, Primeira Liga, 369927
2.0 5.0 8.0 0.0 2.0 4.0 1.0 2.0 3.0 2.33 2.33 1.33      6.0 2.0 7.0 2.0 0.0 4.0 3.66 0.66 1.66     X

% Belenenses - Vitoria de Guimaraes, 2019-01-06, Primeira Liga, 369929
5.0 7.0 3.0 3.0 2.0 1.0 3.66 0.66 1.66 1.0 4.0 1.0      7.0 4.0 4.0 4.0 1.0 1.0 1.66 2.66 1.66     1

% SC Braga - Boavista, 2019-01-06, Primeira Liga, 369933
10.0 3.0 2.0 3.66 0.66 1.66 3.33 1.33 1.33 2.0 2.0 2.0      4.0 4.0 7.0 2.0 2.0 2.0 1.0 2.0 3.0     1

% Vitoria de Setubal - Chaves, 2019-01-06, Primeira Liga, 369934
5.0 2.0 8.0 2.0 0.0 4.0 2.0 1.0 3.0 1.33 3.33 1.33      2.0 2.0 11.0 0.0 1.0 5.0 1.0 1.0 4.0     X

% Mafra - Pacos de Ferreira, 2019-01-06, Segunda Liga, 369942
7.0 3.0 5.0 2.0 0.0 4.0 2.66 1.66 1.66 2.0 2.0 2.0      11.0 0.0 3.0 5.0 0.0 1.0 4.0 1.0 1.0     X

% Arouca - Farense, 2019-01-06, Segunda Liga, 369943
3.0 3.0 8.0 0.0 2.0 4.0 1.0 2.0 3.0 2.0 2.0 2.0      6.0 4.0 5.0 2.0 2.0 2.0 2.66 1.66 1.66     X

% Famalicao - Varzim, 2019-01-06, Segunda Liga, 369944
